customer Code	Item Code	Date	Qty	Val
631453	RN1655	22062019	2	18.00000
263552	RN1476	22062019	3	18.00000
263717	RN1654	22062019	2	9.00000
263717	RN1655	22062019	1	18.00000
251028	RR1716	22062019	5	27.00000
631461	RN1655	22062019	5	27.00000
631463	RN1655	22062019	5	9.00000
835589	RN1654	22062019	2	9.00000
835589	RN1655	22062019	3	45.00000
651191	RN1505	23062019	1	9.00000
261745	RN1654	23062019	2	54.00000
261745	RN1655	23062019	3	18.00000
611171	RN1655	23062019	3	45.00000
611171	RN1654	23062019	5	27.00000
631393	RN1655	23062019	2	27.00000
631393	RN1654	23062019	20	18.00000
631115	RN1655	23062019	6	9.00000
631115	RN1654	23062019	3	45.00000
651191	RN1505	24062019	3	18.00000
642482	RR1715	24062019	4	18.00000
254112	rr1561	25062019	2	27.00000
262067	RN1476	26062019	2	18.00000
262067	RN2110	26062019	5	18.00000
262067	RN2702	26062019	1	18.00000
262067	RN2111	26062019	2	18.00000
262067	RN2109	26062019	2	18.00000
262067	rr1509	26062019	1	27.00000
262067	RN1655	26062019	2	18.00000
242093	RN1455	26062019	3	45.00000
261165	RR1718	26062019	2	18.00000
261165	RR1719	26062019	5	18.00000
243325	RR1716	01072019	1	90.00000
251082	RR1475	01072019	20	90.00000
251082	RN1507	01072019	2	18.00000
251082	RN1711	01072019	2	45.00000
242207	RN1654	01072019	0	45.00000
245371	RN1507	01072019	10	27.00000
641086	RN1655	01072019	10	45.00000
255461	RN1566	01072019	5	54.00000
255461	RN1506	01072019	3	18.00000
255461	RR1051	01072019	3	18.00000
255461	RN1455	01072019	10	18.00000
255461	RN1457	01072019	6	162.00000
255461	RN1476	01072019	12	900.00000
255461	rr1509	01072019	2	45.00000
255461	RN1655	01072019	5	36.00000
611002	RR2601	01072019	10	90.00000
642482	RR1669	01072019	1	45.00000
642482	RR1659	01072019	2	9.00000
261619	RR2118	01072019	2	18.00000
261619	RN1476	01072019	5	18.00000
261480	RN1711	01072019	5	27.00000
261480	rr1572	01072019	1	180.00000
264186	RN1655	01072019	5	9.00000
264186	RN1654	01072019	2	27.00000
264404	RN1655	01072019	20	90.00000
264404	RN1654	01072019	2	90.00000
264007	RN1654	01072019	2	27.00000
264007	RN1655	01072019	5	180.00000
212192	RN1507	01072019	1	18.00000
835621	RN1654	01072019	4	18.00000
835621	RN1655	01072019	5	27.00000
264056	RN1655	01072019	2	18.00000
263084	RR1690	01072019	3	27.00000
262196	RN1655	01072019	1	45.00000
262196	RN1654	01072019	2	18.00000
262196	RN1507	01072019	2	18.00000
254351	RN1654	01072019	2	18.00000
253090	RN1655	01072019	1	9.00000
824026	RN2110	01072019	5	45.00000
631145	RR1716	01072019	3	27.00000
251033	RR1716	01072019	3	18.00000
262337	rr1509	01072019	3	27.00000
262337	RN2702	01072019	2	18.00000
262337	RN2111	01072019	15	18.00000
262337	RN2110	01072019	1	27.00000
262337	RN2109	01072019	1	9.00000
262337	RN1660	01072019	1	18.00000
262337	RN1655	01072019	3	18.00000
242121	RN1507	01072019	10	90.00000
263356	RN1455	01072019	3	45.00000
263356	RN1507	01072019	10	72.00000
261955	RN1507	01072019	3	27.00000
255415	RN1507	01072019	30	135.00000
262908	RN1655	01072019	5	18.00000
262908	rr1509	01072019	4	18.00000
262908	RN1660	01072019	1	45.00000
262908	rr1572	01072019	2	18.00000
262908	RN2109	01072019	1	9.00000
262908	RN1566	01072019	4	18.00000
262908	RN2110	01072019	5	45.00000
262908	RN1502	01072019	100	18.00000
262908	RN2702	01072019	8	9.00000
262908	RN2111	01072019	5	450.00000
262908	RN1455	01072019	1	18.00000
262908	RN1457	01072019	15	90.00000
262023	RR1716	01072019	2	45.00000
261205	RN1507	01072019	20	18.00000
261912	RN1507	01072019	2	135.00000
262080	RN1556	01072019	10	27.00000
612786	RN2110	01072019	10	45.00000
246008	RR1715	01072019	5	27.00000
246008	RN1556	01072019	5	45.00000
263934	RN1655	01072019	1	18.00000
263934	RN1654	01072019	11	9.00000
814288	RN1551	01072019	6	18.00000
242093	RN2702	01072019	7	27.00000
