State Fiscal Year End Date,Operator Name,Total Inspections,Failed Inspections,Operator ID,City,Region,Day,Month,Year
7/7/1905,ERA_TOURS_INTERNATIONAL_INC,0,0,932,Brooklyn,11,7,7,1905
7/7/1905,"ERIE_COUNTY_CHAPTER_NYSARC,_INC",0,0,933,Buffalo,11,7,7,1905
7/7/1905,ERIE_COUNTY_SPCA,2,0,934,Tonawanda,5,7,7,1905
7/7/1905,E&R_TOURS_INC,2,0,936,Ozone park,11,7,7,1905
7/7/1905,ERWAY_AMBULANCE_SERVICE,4,0,937,Elmira heights,4,7,7,1905
7/7/1905,EURO_USA_INTL_INCORPORATED,4,0,944,Flushing,11,7,7,1905
7/7/1905,EVANGEL_CHRISTIAN_SCHOOL,0,0,945,Long island city,11,7,7,1905
7/7/1905,EXCALIBUR_TRANSPORTATION_INC.,1,0,949,Queens,11,7,7,1905
7/7/1905,EXCELLENT_LIMOUSINE_PLUS,1,0,951,Bronx,11,7,7,1905
7/7/1905,EXCEL_TRANSPORTATION,6,0,952,Rochester,4,7,7,1905
7/7/1905,"EZ_TOURS-NY,_INC.",2,0,961,Cortland,3,7,7,1905
7/7/1905,FABIUS-POMPEY_CENTRAL_SCHOOL,61,0,963,Fabius,3,7,7,1905
7/7/1905,FACTORY_DIRECT_BUS_SALES_(ELMSFORD),0,0,965,Port washington,8,7,7,1905
7/7/1905,FAITH_ASSEMBLY_OF_GOD,2,0,967,Poughkeepsie,8,7,7,1905
7/7/1905,FAITH_HERITAGE_SCHOOL,2,0,968,Syracuse,3,7,7,1905
7/7/1905,FALCONER_CENTRAL_SCHOOL,43,0,969,Falconer,5,7,7,1905
7/7/1905,FAMILY_&_CHILDRENS_ASSOCIATION,1,0,970,Mineola,10,7,7,1905
7/7/1905,FAMILY_FOUNDATION_SCHOOL,1,0,973,Hancock,2,7,7,1905
7/7/1905,FAMILY_RESIDENCE_AND_ESSENTIAL_ENT,0,0,974,Old bethpage,1,7,7,1905
7/7/1905,FAMILY_SERVICE_OF_WESTCHESTER_INC.,2,0,975,Portchester,8,7,7,1905
7/7/1905,FAMILY_TOURS_INC.,2,0,976,Bronx,11,7,7,1905
7/7/1905,FARAMOND_TRANSPORTATION,1,0,979,Bellport,10,7,7,1905
7/7/1905,FARMINGDALE_UFSD,12,0,980,Farmingdale,10,7,7,1905
7/7/1905,FAYETTEVILLE-MANLIUS_C/S,131,0,982,Manlius,3,7,7,1905
7/7/1905,FELLOWSHIP_BAPTIST_CHURCH,0,0,984,Staten island,11,7,7,1905
7/7/1905,FERNANDEZ_TRANSPORTATION,4,0,987,Corona,11,7,7,1905
7/7/1905,FIELDS_BUS_SERVICE,1,0,988,Mt. vernon,8,7,7,1905
7/7/1905,FILLMORE_CENTRAL_SCHOOL_DISTRI,52,0,989,Fillmore,4,7,7,1905
7/7/1905,FINGERLAKES_COACH,10,0,991,Waterloo,3,7,7,1905
7/7/1905,FINGER_LAKES_FANTASTIC_TOURS,0,0,992,Geneva,4,7,7,1905
7/7/1905,FIRST_ADVANCED_CARE_INC/DBA_ADVANCE,10,0,995,Brooklyn,11,7,7,1905
7/7/1905,FIRST_ALERT_AMBULETTE_CORP,18,0,996,Bronx,11,7,7,1905
7/7/1905,FIRST_BAPTIST_CHURCH_OF_WEST_S,2,0,997,West seneca,5,7,7,1905
7/7/1905,FIRST_CHURCH_OF_THE_NAZARENE,2,0,1000,Owego,2,7,7,1905
7/7/1905,"FIRST_CLASS_LIMOUSINE_OF_ITHACA,LLC",0,0,1001,Ithaca,3,7,7,1905
7/7/1905,FIRST_STEPS_PRE-SCHOOL_CENTER_INC.,1,0,1006,Setauket,10,7,7,1905
7/7/1905,FIRST_STUDENT_(MIDDLE_ISLAND),116,0,1043,Shoreham,10,7,7,1905
7/7/1905,FIRST_STUDENT_(MILLERSPORT),50,0,1044,Getzville,5,7,7,1905
7/7/1905,FIRST_TRANSIT_/_PUTNAM,1,0,1058,Carmel,8,7,7,1905
7/7/1905,FISHERS_ISLAND_SCHOOL,2,0,1060,Fishers island,10,7,7,1905
7/7/1905,FIVE_TOWNS_COMMUNITY_CENTER,2,0,1061,Lawrence,10,7,7,1905
7/7/1905,FIVE_TOWNS_LIMOUSINE,7,0,1062,Cedarhurst,11,7,7,1905
7/7/1905,FLAVIA_TOURS_INC,0,0,1063,East elmhurst,11,7,7,1905
7/7/1905,FLUSHING_MEDICAL_AMBULETTE_INC,6,0,1068,Corona,11,7,7,1905
7/7/1905,FONDA_FULTONVILLE_CENTRAL,4,0,1072,Fonda,1,7,7,1905
7/7/1905,FORESTVILLE_CENTRAL_SCHOOL,43,0,1075,Forestville,5,7,7,1905
7/7/1905,FORT_PLAIN_CENTRAL_SCHOOL,45,0,1079,Fort plain,1,7,7,1905
7/7/1905,FOUR_SEASONS_CHILD_CARE_CENTER,2,0,1083,Getzville,5,7,7,1905
7/7/1905,FOXTAIL_TOURS_INC,0,0,1085,Brooklyn,11,7,7,1905
