City,Operator Name
Plainview,WE_TRANSPORT_LP(PLAINVIEW)
Albany,WHEELERS_ACCESSIBLE_VAN
Caroga Lake,WHEELERVILLE_UNION_FREE_SCHOOL
No White Plains,WHITE_PLAINS_BUS_CO._(MC)
Elmsford,WHITNEY_YOUNG_HEAD_START
Brooklyn,WILLIES_BUS_SERVICE
Willsboro,WILLSBORO_CENTRAL_SCHOOL
Bronx,WINDSOR_LEASING_AMBULETTE
Warwick,WINSLOW_THERAPUTIC_RIDING_CTR._INC.
Saugerties,WOLF'S_DAY_CARE_CENTER
Valley Stream,WOODEN_SHOE_NURSERY_SCHOOL
Woodstock,WOODSTOCK_DAY_SCHOOL
Wyoming,WYOMING_CENTRAL_SCHOOL_DSITRIC
Brooklyn,XAVERIAN_HIGH_SCHOOL
New York,XAVIER_HIGH_SCHOOL
Brooklyn,YCS_TRANSPORTATION
Brooklyn,YESHIVA_BAIS_CHAIM_YOSHUA
Brooklyn,YESHIVA_BETH_HILLEL_OF_WILLIAMSBURG
Brooklyn,YESHIVA_BOYAN
Monsey,YESHIVA_DARKEI_EMUNAH
Brooklyn,YESHIVA_EITZ_CHAIM_DBORO_PARK
Brooklyn,YESHIVA_JESODA_HATORAH
Brooklyn,YESHIVA_MACHZIKEI_HADAS
Brooklyn,YESHIVA_TIFFERES_BUNIM
Brooklyn,YESHIVA_TZEMACH_TZADIK_WIZNITZ
Brooklyn,YESHIVA_YADGILTORAH
Brooklyn,Y.J.H._COMMUNITY_SERVICES
Olean,"YMCA_OF_OLEAN_NY,_INC."
Commack,YM_YWHA_OF_SUFFOLK_(NESCO)
Retsof,YORK_CENTRAL_SCHOOL_DISTRICT
White Plains,YOUTH_MISSION_OF_LIFE
Brooklyn,YTV_SERVICE_CORP
Jamestown,YWCA_OF_JAMESTOWN
Depew,ZOLADZ_LIMOUSINE_SERVICE
Niagara Falls,"ZUCCARO_TOURS,_INC."
Queens Village,1ST_CLASS_TRANSPORTATION_SERVICE
Melville,3J'S_LIMOUSINE_INC.
Islip Terrace,422_DND_CORP
New Hyde Park,A1_NEW_YORK_TRANS_INC.
Coram,AAA;FIRST;CHOICE;LIMOUSINE;SRVC;INC
Staten Island,AA_GET_AWAY_COACHES_LIMOS_AND_MORE
Yonkers,"ABACO_CARRIERS,_INC."
Commack,ABACUS_TRANSPORTATION_LLC
East Elmhurst,ABAD_TRANSPORTATION
Brooklyn,ABBA_LOCAL_TRANSPORTATION_INC
Woodside,ABC_FANTASY_LAND
Jamaica,ABC_HAPPY_TOUR_INC
Brooklyn,ABLE_BUS_INC
Fresh Meadows,ABLE_TRANSPORTATION_CORP
Glens Falls,ABRAHAM_WING_SCHOOL
White Plains,ACADEMY_OF_OUR_LADY_OF_GOOD_COUNSEL
Brooklyn,"ACA_TRANSPORTATION,INC."
Fort Plain,ACCESS_TRANSPORTATION_INC.
Mahopac,ACE_AMBULETTE_SERVICE_CORP
North Massapequa,ACE_LIMO_LI_CORPORATION
New Hyde Park,ACE_METRO_AMBULETTE_INC
Williamsville,ACES_LIMOUSINE_SERVICE_INC.
Brooklyn,ACH_TOV_V'CHESSED
Staten Island,A-CLLASS_LIMOUSINE_INC.
Addison,ADDISON_CENTRAL_SCHOOL_DISTRIC
Croghan,ADIRONDACK_MEDICAL_TRANSPORT
Mt. Morris,ADONNINO_BROS_INC
Port Ewen,ADRIANO_LIMOUSINE_&_CAR_SERVICE
East Amherst,ADVANTAGE_LIMOUSINE_LTD
Albany,ADVANTAGE_TRANSIT_GROUP_INC.
Astoria,ADVENTURE_EXPRESS
Corona,A.E._FALCONI_CORP.
West Seneca,AFFORDABLE_LIMOUSINE_SERVICE_LLC
Afton,AFTON_CENTRAL_SCHOOL
Kingston,AGRI-BUS_CHILD_DEVELOPMENT_PRO
Bloomingburgh,A_HUDSON_VALLEY_LIMOUSINE_INC
Staten Island,AJM_SOPHISTICATED_CHARTERS
Akron,AKRON_CENTRAL_SCHOOL
Syracuse,"ALADDIN_TRANSPORTATION,_LLC."
Putnam Valley,ALBANIA_LIMOSINE_SERVICE_INC.
Albany,ALBANY_AQUA_DUCKS_INC.
Alden,ALDEN_CENTRAL_SCHOOL
Brooklyn,ALERT_AMBULETTE_SERVICE_CORP.
Ronkonkoma,ALERT_COACH_LINES_INC.
Alexander,ALEXANDER_CENTRAL_SCHOOL
Staten Island,ALEX_TRANS_INC.
Douglaston,ALINA_SERVICE_CORP
Brooklyn,ALL_AROUND_TRANSPORTATION_INC
Spring Valley,ALLCARE_AMBULETTE
Long Island City,ALL_CHILDRED'S_CHILD_CARE_CENTER
Bronx,ALL_CITY_JR_TENNIS
Bellmore,ALL_COUNTY_LIMOUSINE_OF_L_I_LTD
Allegany,ALLEGANY_-_LIMESTONE_C.S.
"Brasher Falls,","ALLENCARE_MEDICAL_TRANSPORT,_LLC"
Mexico,"ALLEN_CHASE_ENTERPRISES,_INC."
Rochester,ALLENDALE_COLUMBIA_SCHOOL
Brooklyn,"ALLIED_CENTRAL_AMBULETTE,_INC"
West Hempstead,ALL_ISLAND_AIRPORT_SERVICE
Brooklyn,"ALLMEDICAL_SERVICE,_INC"
Binghamton,ALL_MY_CHILDREN_CHILD_CARE_CTR._INC
Staten Island,ALL_NATIONS_COACH_INC
Troy,"ALL_OCCASIONS_LIMO_SERVICE,_INC."
Hewlett,ALL_POINTS_AMBULETTE_INC.
